,,WINS,AVG_VP,STD_VP,AVG_SETTLES,STD_SETTLES,AVG_CITIES,STD_CITIES,AVG_ROAD,STD_ROAD,AVG_ARMY,STD_ARMY,AVG_DEV_VP,STD_DEV_VP,GAME_IDX,PLAYER_TYPE
0,AlphaBetaPlayer:RED,106,8.02,2.55,2.55,35.88,2.15,30.25,0.53,7.46,0.03,0.35,0.06,0.77,0,abMixedAd
1,AlphaBetaPlayer:ORANGE,94,7.67,2.73,2.73,38.41,1.95,27.44,0.47,6.61,0.01,0.21,0.07,0.98,0,ab
0,AlphaBetaPlayer:RED,200,10.02,0.14,2.68,37.71,2.62,36.94,0.97,13.65,0.03,0.42,0.09,1.27,1,abMixedAd
1,MCTSPlayer:BLUE,0,2.81,1.26,1.91,26.81,0.16,2.25,0.01,0.21,0.10,1.34,0.37,5.21,1,mcts
0,AlphaBetaPlayer:RED,200,10.02,0.12,2.77,39.05,2.60,36.52,0.99,13.93,0.01,0.14,0.05,0.70,2,abMixedAd
1,RandomPlayer:WHITE[/white,0,2.40,0.74,1.92,26.95,0.11,1.55,0.01,0.07,0.03,0.42,0.20,2.74,2,random
0,AlphaBetaPlayer:RED,94,7.70,2.63,2.48,34.90,2.12,29.83,0.47,6.61,0.01,0.07,0.03,0.42,3,abFullPr
1,AlphaBetaPlayer:ORANGE,106,7.96,2.58,2.75,38.70,2.02,28.42,0.53,7.39,0.02,0.28,0.09,1.20,3,ab
0,AlphaBetaPlayer:RED,199,9.98,0.44,2.62,36.87,2.66,37.43,0.98,13.86,0.01,0.14,0.06,0.77,4,abFullPr
1,MCTSPlayer:BLUE,1,2.84,1.25,1.98,27.79,0.12,1.62,0.01,0.21,0.09,1.20,0.43,6.12,4,mcts
0,AlphaBetaPlayer:RED,200,10.02,0.14,2.73,38.49,2.64,37.15,0.99,13.93,0.00,0.00,0.03,0.35,5,abFullPr
1,RandomPlayer:WHITE[/white,0,2.43,0.91,1.95,27.37,0.09,1.20,0.01,0.14,0.04,0.56,0.21,3.03,5,random
